1,google.nl
2,uu.nl
3,cwi.nl
4,doxygen.nl
5,xs4all.nl
6,uva.nl
7,rug.nl
8,tudelft.nl
9,blogspot.nl
10,nos.nl
11,nu.nl
12,rijksoverheid.nl
13,utwente.nl
14,tue.nl
15,vu.nl
16,wur.nl
17,telegraaf.nl
18,ad.nl
19,volkskrant.nl
20,nrc.nl
21,ru.nl
22,marktplaats.nl
23,rijksmuseum.nl
24,leidenuniv.nl
25,amazon.nl
26,dutchtracking.nl
27,dutchnews.nl
28,vagina.nl
29,rivm.nl
30,autoriteitpersoonsgegevens.nl
31,government.nl
32,transip.nl
33,eur.nl
34,belastingdienst.nl
35,jouwweb.nl
36,rtlnieuws.nl
37,vangoghmuseum.nl
38,home.nl
39,cbs.nl
40,trouw.nl
41,npostart.nl
42,hostnet.nl
43,amsterdam.nl
44,rabobank.nl
45,ns.nl
46,planet.nl
47,dumpert.nl
48,vpro.nl
49,universiteitleiden.nl
50,startpagina.nl
51,usenet.nl
52,ziggo.nl
53,simpsite.nl
54,demon.nl
55,overheid.nl
56,parool.nl
57,maastrichtuniversity.nl
58,tno.nl
59,knaw.nl
60,chello.nl
61,funda.nl
62,mijndomein.nl
63,kvk.nl
64,bnnvara.nl
65,anwb.nl
66,postnl.nl
67,consumentenbond.nl
68,ing.nl
69,avrotros.nl
70,coolblue.nl
71,rvo.nl
72,ah.nl
73,robbast.nl
74,digid.nl
75,rechtspraak.nl
76,schiphol.nl
77,nltimes.nl
78,wanadoo.nl
79,budgetphone.nl
80,abnamro.nl
81,fd.nl
82,buienradar.nl
83,rnw.nl
84,rtl.nl
85,politie.nl
86,degiro.nl
87,lycos.nl
88,messageboard.nl
89,9292.nl
90,knmi.nl
91,elsevier.nl
92,elitek.nl
93,minimafia.nl
94,npo.nl
95,hyves.nl
96,omroep.nl
97,gelderlander.nl
98,businessinsider.nl
99,eventbrite.nl
100,dds.nl
101,hema.nl
102,audiobookbay.nl
103,surfconext.nl
104,bnr.nl
105,hccnet.nl
